time,P,G(i),H_sun,T2m,WS10m,Int
20230228:1010,720200,338.04,36.38,6.91,5.24,0
20230228:1110,696175,328.82,38.13,7.53,4.97,0
20230228:1210,506800,246.14,36.37,8.56,4.69,0
20230228:1310,820250,384.74,31.45,8.43,4.69,0
20230228:1410,1855075,873.95,24.1,8.19,4.9,0
20230228:1510,1662600,774.25,15.1,8.01,4.97,0
20230228:1610,15700,17.4,5.07,7.27,5.17,0
20230228:1710,0,0,0,6.22,5.38,0
20230228:1810,0,0,0,5.34,5.66,0
20230228:1910,0,0,0,4.71,6.34,0
20230228:2010,0,0,0,4.43,6.14,0
20230228:2110,0,0,0,4.2,5.93,0
20230228:2210,0,0,0,4.11,6,0
20230228:2310,0,0,0,3.78,6.07,0
20230301:0010,0,0,0,3.63,6.07,0
20230301:0110,0,0,0,3.7,6,0
20230301:0210,0,0,0,3.61,6.34,0
20230301:0310,0,0,0,3.63,6.76,0
20230301:0410,0,0,0,3.57,6.97,0
20230301:0510,0,0,0,3.39,6.69,0
20230301:0610,0,3.64,5.39,3.27,6.69,0
20230301:0710,95875,58.84,15.44,4.5,7.1,0
20230301:0810,53575,38.12,24.45,4.82,6.55,0
20230301:0910,84850,53.87,31.82,5.95,6.21,0
20230301:1010,128175,74.59,36.76,6.44,6.21,0
20230301:1110,299850,152.49,38.51,6.63,6.21,0
20230301:1210,635675,301.58,36.73,7.82,5.79,0
20230301:1310,867575,405.63,31.77,8.69,5.38,0
20230301:1410,640625,304.39,24.39,9.47,4.9,0
20230301:1510,338975,169.72,15.36,9.17,4.28,0
20230301:1610,36100,28.98,5.31,8.34,4.14,0
20230301:1710,0,0,0,7.34,4.07,0
20230301:1810,0,0,0,6.62,4,0
20230301:1910,0,0,0,5.44,4.9,0
20230301:2010,0,0,0,5.22,4.83,0
20230301:2110,0,0,0,5.23,4.76,0
20230301:2210,0,0,0,5.18,4.62,0
20230301:2310,0,0,0,5.08,4.55,0
20230302:0010,0,0,0,4.92,4.48,0
20230302:0110,0,0,0,4.88,4.28,0
20230302:0210,0,0,0,4.89,4.41,0
20230302:0310,0,0,0,5.04,4.41,0
20230302:0410,0,0,0,5.15,4,0
20230302:0510,0,0,0,5.2,3.72,0
20230302:0610,0,3.64,5.7,5.14,3.38,0
20230302:0710,1437225,666.15,15.76,6.34,3.52,0
20230302:0810,1262025,589.33,24.79,8.17,3.66,0
20230302:0910,2041175,994.99,32.19,9.82,3.52,0
20230302:1010,1722450,835.07,37.14,11.42,3.45,0
20230302:1110,833300,400.86,38.89,12.38,3.52,0
20230302:1210,64000,44.75,37.09,12.78,4.34,0
20230302:1310,52900,38.95,32.1,12.79,3.93,0
20230302:1410,286025,150.05,24.68,12.79,3.45,0
20230302:1510,13925,16.57,15.62,12.6,2.62,0
20230302:1610,10300,14.09,5.55,11.58,1.86,0
20230302:1710,0,0,0,10.17,2.07,0
20230302:1810,0,0,0,9.06,2.48,0
20230302:1910,0,0,0,8.52,2.07,0
20230302:2010,0,0,0,7.73,2.69,0
20230302:2110,0,0,0,7.13,3.38,0
20230302:2210,0,0,0,6.58,3.72,0
20230302:2310,0,0,0,6.22,3.79,0
20230303:0010,0,0,0,5.96,3.45,0
20230303:0110,0,0,0,5.85,3.17,0
20230303:0210,0,0,0,5.59,3.03,0
20230303:0310,0,0,0,5.35,2.9,0
20230303:0410,0,0,0,5.1,3.03,0
20230303:0510,0,0,0,4.74,2.97,0
20230303:0610,771625,352.96,6.01,4.56,3.1,0
20230303:0710,660000,308.04,16.08,5.68,2.83,0
20230303:0810,1703325,809.87,25.14,7.67,3.03,0
20230303:0910,225750,121,32.55,9.37,3.17,0
20230303:1010,1365675,654.06,37.52,10.61,2.9,0
20230303:1110,1335800,642.22,39.27,11.07,2.69,0
20230303:1210,420150,210.96,37.45,11.33,2.97,0
20230303:1310,429050,214.27,32.42,11.11,3.1,0
20230303:1410,965125,457.77,24.97,11.15,3.17,0
20230303:1510,1236075,584.74,15.88,10.96,3.1,0
20230303:1610,703500,332.15,5.79,10.41,2.62,0
20230303:1710,0,0,0,9.5,2.76,0
20230303:1810,0,0,0,8.6,3.1,0
20230303:1910,0,0,0,7.52,3.31,0
20230303:2010,0,0,0,7.01,3.45,0
20230303:2110,0,0,0,6.56,3.52,0
20230303:2210,0,0,0,6.11,3.66,0
20230303:2310,0,0,0,5.78,3.86,0
20230304:0010,0,0,0,5.39,4.14,0
20230304:0110,0,0,0,5.07,4.34,0
20230304:0210,0,0,0,4.8,4.48,0
20230304:0310,0,0,0,4.58,4.48,0
20230304:0410,0,0,0,4.46,4.62,0
20230304:0510,0,0,0,4.42,4.76,0
20230304:0610,774025,352.16,6.32,4.53,4.62,0
20230304:0710,1677025,777.12,16.4,6.22,4.62,0
20230304:0810,1985025,941.57,25.49,8.02,4.76,0
20230304:0910,2094125,1016.48,32.92,9.68,4.07,0
20230304:1010,2134200,1061.73,37.91,11.22,3.1,0
20230304:1110,2104050,1079.27,39.66,12.34,1.72,0
20230304:1210,1964100,1032.38,37.81,12.94,0.48,0
20230304:1310,1962625,1030.01,32.75,13.22,0.55,0
20230304:1410,1855300,949.69,25.26,13.3,1.03,0
20230304:1510,1563650,771.02,16.14,12.95,1.59,0
20230304:1610,759700,361.52,6.03,12.25,2.28,0
20230304:1710,0,0,0,10.86,2.69,0
20230304:1810,0,0,0,9.28,2.62,0
20230304:1910,0,0,0,8.67,2.34,0
20230304:2010,0,0,0,7.8,2.55,0
20230304:2110,0,0,0,6.98,2.62,0
20230304:2210,0,0,0,6.21,2.48,0
20230304:2310,0,0,0,5.4,2.55,0
20230305:0010,0,0,0,4.87,2.62,0
20230305:0110,0,0,0,4.31,2.69,0
20230305:0210,0,0,0,3.87,2.83,0
20230305:0310,0,0,0,3.66,2.9,0
20230305:0410,0,0,0,3.41,2.97,0
20230305:0510,0,0,0,3.15,3.03,0
20230305:0610,903625,409.23,6.63,3.01,3.03,0
20230305:0710,1722825,802.78,16.73,4.3,3.17,0
20230305:0810,1992950,954.27,25.83,6.82,3.38,0
20230305:0910,2119925,1035.27,33.3,9,3.45,0
20230305:1010,2160150,1078.72,38.3,10.5,2.76,0
20230305:1110,2145300,1101.74,40.04,11.62,1.66,0
20230305:1210,2015575,1055.75,38.18,12.17,0.62,0
20230305:1310,1980575,1046.27,33.08,12.4,0.28,0
20230305:1410,1887075,965.08,25.55,12.3,0.97,0
20230305:1510,1598075,789.06,16.4,12.09,1.38,0
20230305:1610,914900,434.63,6.27,11.55,1.72,0
20230305:1710,0,0,0,10.4,2,0
20230305:1810,0,0,0,9.16,1.86,0
20230305:1910,0,0,0,8.13,1.45,0
20230305:2010,0,0,0,9.44,0.83,0
20230305:2110,0,0,0,8.35,0.9,0
20230305:2210,0,0,0,6.11,1.17,0
20230305:2310,0,0,0,4.96,1.24,0
20230306:0010,0,0,0,4.32,1.24,0
20230306:0110,0,0,0,3.9,1.31,0
20230306:0210,0,0,0,3.5,1.45,0
20230306:0310,0,0,0,3.18,1.66,0
20230306:0410,0,0,0,2.92,1.93,0
20230306:0510,0,0,0,3.56,2.34,0
20230306:0610,545900,255.27,6.94,4.79,2.41,0
20230306:0710,1035875,480.89,17.06,6.67,2.55,0
20230306:0810,598150,287.21,26.19,9.2,2.9,0
20230306:0910,1892825,919.99,33.67,10.65,3.52,0
20230306:1010,1668975,801.52,38.69,11.4,4.28,0
20230306:1110,682850,329.32,40.43,11.77,4.97,0
20230306:1210,1891150,908.38,38.54,11.58,5.38,0
20230306:1310,1280750,604.31,33.4,11.42,5.24,0
20230306:1410,1697750,811.48,25.83,12.15,4.97,0
20230306:1510,1156375,544.62,16.66,12.01,4.48,0
20230306:1610,317350,159.81,6.51,10.82,3.31,0
20230306:1710,0,0,0,10.26,2.69,0
20230306:1810,0,0,0,9.62,2.41,0
20230306:1910,0,0,0,9.69,2.83,0
20230306:2010,0,0,0,9.41,2.83,0
20230306:2110,0,0,0,9.15,2.83,0
20230306:2210,0,0,0,8.93,2.07,0
20230306:2310,0,0,0,7.65,1.72,0
20230307:0010,0,0,0,7.28,2,0
20230307:0110,0,0,0,6.87,2.55,0
20230307:0210,0,0,0,6.91,2.76,0
20230307:0310,0,0,0,6.95,2.69,0
20230307:0410,0,0,0,6.78,2.76,0
20230307:0510,0,0,0,6.47,2.69,0
20230307:0610,604650,282.91,7.26,6.49,2.62,0
20230307:0710,1101425,522,17.39,7.64,0.9,0
20230307:0810,950825,455.59,26.54,10.34,1.31,0
20230307:0910,1142750,549.72,34.04,11.15,1.93,0
20230307:1010,1461275,711.91,39.08,11.8,2.21,0
20230307:1110,2021775,1012.78,40.82,12.51,2.69,0
20230307:1210,1482500,719.52,38.9,12.91,3.17,0
20230307:1310,1981700,979.92,33.73,12.71,3.38,0
20230307:1410,1886300,922.7,26.12,12.64,3.66,0
20230307:1510,1627300,782.27,16.91,12.37,3.72,0
20230307:1610,784750,370.56,6.74,11.81,3.38,0
20230307:1710,0,0,0,10.96,3.31,0
20230307:1810,0,0,0,10.34,3.45,0
20230307:1910,0,0,0,10.31,3.45,0
20230307:2010,0,0,0,10.01,3.59,0
20230307:2110,0,0,0,9.91,3.79,0
20230307:2210,0,0,0,9.77,3.79,0
20230307:2310,0,0,0,9.8,3.59,0
20230308:0010,0,0,0,9.65,3.17,0
20230308:0110,0,0,0,9.61,2.83,0
20230308:0210,0,0,0,9.33,2.48,0
20230308:0310,0,0,0,9.11,2.69,0
20230308:0410,0,0,0,8.89,2.76,0
20230308:0510,0,0,0,8.88,2.76,0
20230308:0610,650375,306.56,7.58,9.24,2.9,0
20230308:0710,375375,187.48,17.73,9.93,2.21,0
20230308:0810,315875,163.09,26.89,11.48,2.69,0
20230308:0910,336625,173.82,34.42,12.73,3.1,0
20230308:1010,170350,96.96,39.47,13.42,3.59,0
20230308:1110,587375,289.36,41.21,13.83,4.14,0
20230308:1210,1543000,744.44,39.27,13.94,4.76,0
20230308:1310,1343000,639.7,34.05,13.38,5.38,0
20230308:1410,1831450,884.51,26.41,13.66,5.24,0
20230308:1510,94950,60.5,17.17,13.37,4.9,0
20230308:1610,7900,12.43,6.98,12.85,4.55,0
20230308:1710,0,0,0,12.32,4.69,0
20230308:1810,0,0,0,11.99,4.97,0
20230308:1910,0,0,0,12.07,5.1,0
20230308:2010,0,0,0,11.88,4.83,0
20230308:2110,0,0,0,11.84,4.34,0
20230308:2210,0,0,0,11.71,3.93,0
20230308:2310,0,0,0,11.51,3.59,0
20230309:0010,0,0,0,11.35,3.66,0
20230309:0110,0,0,0,11.33,3.66,0
20230309:0210,0,0,0,11.42,3.52,0
20230309:0310,0,0,0,11.46,3.59,0
20230309:0410,0,0,0,11.56,3.59,0
20230309:0510,0,0,0,11.74,4,0
20230309:0610,925,6.63,7.9,11.81,4.41,0
20230309:0710,159475,91.17,18.06,12.52,4.14,0
20230309:0810,625425,302.77,27.25,13.1,5.17,0
20230309:0910,230475,125.14,34.8,13.8,5.45,0
20230309:1010,159675,91.99,39.87,13.95,5.1,0
20230309:1110,465200,233.38,41.6,14.11,4.97,0
20230309:1210,274475,145.86,39.63,14.02,4.34,0
20230309:1310,920600,443.38,34.37,14.27,4.07,0
20230309:1410,711725,345.07,26.69,14.41,3.86,0
20230309:1510,293325,153.27,17.42,14.32,3.72,0
20230309:1610,115100,69.44,7.22,13.73,3.72,0
20230309:1710,0,0,0,13.13,4.34,0
20230309:1810,0,0,0,12.84,4.69,0
20230309:1910,0,0,0,12.83,4.21,0
20230309:2010,0,0,0,12.67,4.14,0
20230309:2110,0,0,0,12.43,3.93,0
20230309:2210,0,0,0,12.21,3.86,0
20230309:2310,0,0,0,12.04,3.72,0
20230310:0010,0,0,0,11.93,3.45,0
20230310:0110,0,0,0,11.95,3.03,0
20230310:0210,0,0,0,11.81,3.59,0
20230310:0310,0,0,0,11.68,3.86,0
20230310:0410,0,0,0,11.47,3.66,0
20230310:0510,0,0,0,11.21,3.24,0
20230310:0610,1800,7.46,8.23,11.16,3.03,0
20230310:0710,292350,151.9,18.4,12.11,2.48,0
20230310:0810,40600,32.32,27.61,12.71,2.69,0
20230310:0910,278150,147.52,35.18,13.42,2.83,0
20230310:1010,472625,237.69,40.26,14.12,3.1,0
20230310:1110,753300,368.48,41.99,14.88,3.45,0
20230310:1210,84600,55.53,39.99,14.18,4.21,0
20230310:1310,79700,53.04,34.7,14.08,3.93,0
20230310:1410,78100,52.21,26.98,13.88,2.97,0
20230310:1510,98100,62.16,17.68,13.41,2.34,0
20230310:1610,125,5.8,7.45,12.72,2.9,0
20230310:1710,0,0,0,12.02,1.66,0
20230310:1810,0,0,0,11.13,0.62,0
20230310:1910,0,0,0,10.25,1.24,0
20230310:2010,0,0,0,9.9,1.24,0
20230310:2110,0,0,0,10.8,0.83,0
20230310:2210,0,0,0,10.51,0.34,0
20230310:2310,0,0,0,10.44,0.28,0
20230311:0010,0,0,0,10.68,0.69,0
20230311:0110,0,0,0,10.75,0.28,0
20230311:0210,0,0,0,10.33,0.28,0
20230311:0310,0,0,0,10.08,0.83,0
20230311:0410,0,0,0,8.54,1.17,0
20230311:0510,0,0,0,7.57,1.45,0
20230311:0610,141400,80.36,8.55,7.96,1.38,0
20230311:0710,155450,88.97,18.74,10.66,1.52,0
20230311:0810,188000,105.25,27.97,12.69,1.52,0
20230311:0910,104700,65.47,35.56,13.67,2.48,0
20230311:1010,2030425,1025.59,40.66,14.21,2.76,0
20230311:1110,1130725,552.79,42.38,14.5,2.28,0
20230311:1210,1126475,553.27,40.36,14.99,1.93,0
20230311:1310,1893200,974.6,35.02,14.84,1.38,0
20230311:1410,1406050,703.83,27.26,14.8,0.9,0
20230311:1510,749700,367.03,17.93,14.45,0.76,0
20230311:1610,846700,408.39,7.68,13.69,1.17,0
20230311:1710,0,0,0,12.33,2.34,0
20230311:1810,0,0,0,10.83,3.93,0
20230311:1910,0,0,0,11.11,3.59,0
20230311:2010,0,0,0,10.24,4.41,0
20230311:2110,0,0,0,9.71,5.1,0
20230311:2210,0,0,0,9.12,5.66,0
20230311:2310,0,0,0,8.7,5.66,0
20230312:0010,0,0,0,8.23,5.79,0
20230312:0110,0,0,0,7.76,6.14,0
20230312:0210,0,0,0,7.26,6.41,0
20230312:0310,0,0,0,6.82,6.41,0
20230312:0410,0,0,0,6.42,6.28,0
20230312:0510,0,0,0,6.13,6.21,0
20230312:0610,448150,212.76,8.88,5.99,6.14,0
20230312:0710,1608750,744.36,19.08,7.19,5.31,0
20230312:0810,2027175,960.07,28.33,8.42,5.45,0
20230312:0910,2131900,1027.87,35.95,9.93,5.03,0
20230312:1010,2188225,1072.29,41.06,11.36,4.55,0
20230312:1110,2174275,1078.49,42.77,12.48,4,0
20230312:1210,2140300,1077.89,40.72,13.32,3.1,0
20230312:1310,2060725,1045.33,35.34,13.83,2.48,0
20230312:1410,1927225,976.35,27.54,14.03,2,0
20230312:1510,1622825,808.58,18.18,13.85,1.52,0
20230312:1610,883650,424.56,7.92,13.19,1.38,0
20230312:1710,0,0,0,11.85,2.34,0
20230312:1810,0,0,0,10.29,2.55,0
20230312:1910,0,0,0,9.28,2.07,0
20230312:2010,0,0,0,8.1,2.07,0
20230312:2110,0,0,0,7.34,2.14,0
20230312:2210,0,0,0,6.62,2.07,0
20230312:2310,0,0,0,5.82,1.93,0
20230313:0010,0,0,0,5.36,2,0
20230313:0110,0,0,0,5.02,2,0
20230313:0210,0,0,0,4.62,1.93,0
20230313:0310,0,0,0,4.28,1.86,0
20230313:0410,0,0,0,3.79,1.79,0
20230313:0510,0,0,0,3.47,1.86,0
20230313:0610,1075900,493.8,9.21,3.68,1.72,0
20230313:0710,1733600,841.51,19.42,6.83,1.31,0
20230313:0810,1875325,956.82,28.69,11.08,0.76,0
20230313:0910,1975475,1031.5,36.33,13.48,0.83,0
20230313:1010,2049400,1059.75,41.46,14.77,1.79,0
20230313:1110,2090825,1073.75,43.17,15.21,2.41,0
20230313:1210,2059825,1050.89,41.08,15.37,2.69,0
20230313:1310,1763725,883.45,35.66,15.37,2.62,0
20230313:1410,1407325,690.07,27.82,15.18,2.62,0
20230313:1510,842700,406.92,18.43,14.71,2.69,0
20230313:1610,547875,266.64,8.15,13.77,2.55,0
20230313:1710,0,0,0,12.46,2.9,0
20230313:1810,0,0,0,11.49,3.24,0
20230313:1910,0,0,0,11.45,3.45,0
20230313:2010,0,0,0,11.08,3.72,0
20230313:2110,0,0,0,10.81,4,0
20230313:2210,0,0,0,10.72,4.21,0
20230313:2310,0,0,0,10.66,4.48,0
20230314:0010,0,0,0,10.64,4.76,0
20230314:0110,0,0,0,10.66,4.9,0
20230314:0210,0,0,0,10.75,5.1,0
20230314:0310,0,0,0,10.89,5.59,0
20230314:0410,0,0,0,10.97,6.07,0
20230314:0510,0,0,0,11.03,6.41,0
20230314:0610,965075,448.02,9.54,11.24,6.55,0
20230314:0710,1159150,543.5,19.77,12.43,6.21,0
20230314:0810,1999150,956.92,29.05,13.48,7.45,0
20230314:0910,2127725,1022.54,36.72,14.26,8.48,0
20230314:1010,2167025,1042.6,41.86,14.89,9.24,0
20230314:1110,2189675,1055.52,43.56,15.29,9.45,0
20230314:1210,2175300,1049.06,41.45,15.5,9.45,0
20230314:1310,2112150,1016.59,35.98,15.46,9.24,0
20230314:1410,960325,456.12,28.1,15.17,8.62,0
20230314:1510,1514350,716.27,18.68,14.59,7.52,0
20230314:1610,1020375,477.78,8.38,13.85,7.31,0
20230314:1710,0,0,0,12.89,7.17,0
20230314:1810,0,0,0,12.26,6.55,0
20230314:1910,0,0,0,11.86,6.62,0
20230314:2010,0,0,0,11.65,6.62,0
20230314:2110,0,0,0,11.67,6.07,0
20230314:2210,0,0,0,11.24,5.24,0
20230314:2310,0,0,0,11.12,4.9,0
20230315:0010,0,0,0,10.94,4.69,0
20230315:0110,0,0,0,10.75,4.48,0
20230315:0210,0,0,0,10.46,4.76,0
20230315:0310,0,0,0,10,5.31,0
20230315:0410,0,0,0,9.43,5.86,0
20230315:0510,0,0,0,8.72,6.97,0
20230315:0610,67050,45.22,9.87,7.93,8,0
20230315:0710,104675,63.81,20.11,7.84,8.28,0
20230315:0810,143100,82.05,29.42,8.22,8.28,0
20230315:0910,164025,91.99,37.1,8.77,7.31,0
20230315:1010,333375,169.06,42.26,9.17,7.1,0
20230315:1110,473125,231.56,43.95,9.25,6.97,0
20230315:1210,566400,272.52,41.81,8.92,6.62,0
20230315:1310,980600,456.12,36.3,8.99,6.97,0
20230315:1410,1217075,563.69,28.38,9.36,6.69,0
20230315:1510,965500,447.54,18.93,9.43,6,0
20230315:1610,565625,267.2,8.61,9.45,6.14,0
20230315:1710,0,0,0,8.73,6.48,0
20230315:1810,0,0,0,8.19,6.41,0
20230315:1910,0,0,0,7.67,7.1,0
20230315:2010,0,0,0,7.31,7.17,0
20230315:2110,0,0,0,7,6.97,0
20230315:2210,0,0,0,6.74,6.48,0
20230315:2310,0,0,0,6.51,6.14,0
20230316:0010,0,0,0,6.27,5.93,0
20230316:0110,0,0,0,6,5.79,0
20230316:0210,0,0,0,5.71,5.72,0
20230316:0310,0,0,0,5.48,5.79,0
20230316:0410,0,0,0,5.23,5.79,0
20230316:0510,0,0,0,4.96,5.59,0
20230316:0610,1238600,560.1,10.2,4.96,5.59,0
20230316:0710,1930700,895.55,20.46,6.03,5.86,0
20230316:0810,2156425,1010.89,29.78,6.88,6.55,0
20230316:0910,2258225,1069.39,37.49,7.89,6.62,0
20230316:1010,2257325,1079.77,42.66,8.73,6,0
20230316:1110,2271650,1098.46,44.35,9.43,5.31,0
20230316:1210,2199900,1064.61,42.17,9.99,5.17,0
20230316:1310,2220475,1079.27,36.62,10.38,4.97,0
20230316:1410,2051875,989.96,28.66,10.59,4.83,0
20230316:1510,1746625,831.15,19.18,10.5,4.48,0
20230316:1610,906275,423.01,8.84,10.01,3.79,0
20230316:1710,0,0,0,8.96,3.52,0
20230316:1810,0,0,0,7.89,3.45,0
20230316:1910,0,0,0,7.44,3.1,0
20230316:2010,0,0,0,6.66,3.03,0
20230316:2110,0,0,0,5.95,2.97,0
20230316:2210,0,0,0,5.33,2.97,0
20230316:2310,0,0,0,4.69,2.9,0
20230317:0010,0,0,0,4.02,2.76,0
20230317:0110,0,0,0,3.51,2.76,0
20230317:0210,0,0,0,3.17,2.69,0
20230317:0310,0,0,0,2.86,2.62,0
20230317:0410,0,0,0,2.42,2.55,0
20230317:0510,0,0,0,2.1,2.55,0
20230317:0610,1237275,562.93,10.53,2.35,2.48,0
20230317:0710,1791525,847.35,20.8,4.67,2.48,0
20230317:0810,2039700,993.6,30.15,7.31,2.62,0
20230317:0910,2117225,1052.68,37.88,9.17,2.41,0
20230317:1010,2106950,1076.32,43.06,10.63,1.52,0
20230317:1110,2065925,1081.31,44.74,11.8,0.76,0
20230317:1210,2104600,1095.61,42.53,12.69,1.24,0
20230317:1310,2074850,1060.61,36.94,13.24,2,0
20230317:1410,1966275,980.51,28.93,13.3,2.9,0
20230317:1510,1726850,836.31,19.43,12.59,3.66,0
20230317:1610,973050,457.37,9.07,11.25,3.38,0
20230317:1710,0,0,0,9.76,2.69,0
20230317:1810,0,0,0,8.68,2.14,0
20230317:1910,0,0,0,7.68,1.52,0
20230317:2010,0,0,0,7.93,1.1,0
20230317:2110,0,0,0,7.38,1.17,0
20230317:2210,0,0,0,6.62,1.24,0
20230317:2310,0,0,0,5.99,1.31,0
20230318:0010,0,0,0,5.15,1.45,0
20230318:0110,0,0,0,4.52,1.52,0
20230318:0210,0,0,0,3.83,1.59,0
20230318:0310,0,0,0,3.14,1.59,0
20230318:0410,0,0,0,2.62,1.59,0
20230318:0510,0,0,0,2.23,1.52,0
20230318:0610,1165875,537.43,10.86,3.01,1.24,0
20230318:0710,1711050,838.61,21.15,7.3,0.9,0
20230318:0810,1910500,974.4,30.51,10.7,0.83,0
20230318:0910,1990550,1026.62,38.26,12.06,1.03,0
20230318:1010,2034300,1050,43.46,12.94,1.38,0
20230318:1110,2058425,1061.35,45.14,13.52,1.66,0
20230318:1210,2092250,1075.35,42.89,13.87,2,0
20230318:1310,2022725,1033.89,37.25,13.98,2,0
20230318:1410,1903475,968.98,29.21,13.91,1.66,0
20230318:1510,1623550,809.55,19.67,13.69,1.45,0
20230318:1610,1032775,496.09,9.29,13.04,1.59,0
20230318:1710,0,0,0,11.75,1.66,0
20230318:1810,0,0,0,9.93,1.38,0
20230318:1910,0,0,0,10.06,0.97,0
20230318:2010,0,0,0,9.11,1.17,0
20230318:2110,0,0,0,8.1,1.31,0
20230318:2210,0,0,0,7.17,1.38,0
20230318:2310,0,0,0,6.55,1.38,0
20230319:0010,0,0,0,5.75,1.52,0
20230319:0110,0,0,0,5.1,1.66,0
20230319:0210,0,0,0,4.76,1.66,0
20230319:0310,0,0,0,4.68,1.66,0
20230319:0410,0,0,0,4.39,1.86,0
20230319:0510,0,0,0,4.61,2.28,0
20230319:0610,1082625,499.97,11.2,5.37,2.07,0
20230319:0710,1572750,762.62,21.49,8.98,1.45,0
20230319:0810,1696450,836.46,30.88,11.56,1.93,0
20230319:0910,1096925,529.26,38.65,12.62,2.55,0
20230319:1010,1519325,745.58,43.86,13.25,2.55,0
20230319:1110,631525,311.23,45.53,13.66,2.83,0
20230319:1210,1531000,750.82,43.25,13.95,2.97,0
20230319:1310,1216125,591.04,37.57,14.15,2.76,0
20230319:1410,1047475,506.07,29.48,14.1,2.76,0
20230319:1510,428175,214.84,19.91,13.83,2.48,0
20230319:1610,242875,128.8,9.52,13.15,1.86,0
20230319:1710,0,0,0,12.31,1.45,0
20230319:1810,0,0,0,11.05,1.03,0
20230319:1910,0,0,0,10.95,0.83,0
20230319:2010,0,0,0,9.62,1.31,0
20230319:2110,0,0,0,8.77,1.66,0
20230319:2210,0,0,0,8.49,1.86,0
20230319:2310,0,0,0,7.57,1.79,0
20230320:0010,0,0,0,8.05,1.52,0
20230320:0110,0,0,0,8.14,1.38,0
20230320:0210,0,0,0,7.35,1.66,0
20230320:0310,0,0,0,7.12,1.72,0
20230320:0410,0,0,0,7.32,1.93,0
20230320:0510,0,0,0,7.69,2.07,0
20230320:0610,38475,30.66,11.53,8.36,1.86,0
20230320:0710,359600,182.13,21.84,10.78,1.52,0
20230320:0810,949475,459,31.24,12.54,1.72,0
20230320:0910,897475,434.87,39.04,13.07,2.34,0
20230320:1010,720125,352.19,44.27,13.5,2.69,0
20230320:1110,751800,367.19,45.93,13.4,2.62,0
20230320:1210,843675,410.2,43.61,13.38,2.55,0
20230320:1310,353125,182.09,37.88,13.11,2.41,0
20230320:1410,271425,144.07,29.75,12.92,2.28,0
20230320:1510,198400,109.74,20.16,12.83,2.34,0
20230320:1610,107725,66.04,9.74,12.53,2.28,0
20230320:1710,0,0,0,12.15,2.21,0
20230320:1810,0,0,0,11.61,2,0
20230320:1910,0,0,0,11.21,1.38,0
20230320:2010,0,0,0,10.84,1.59,0
20230320:2110,0,0,0,10.55,1.72,0
20230320:2210,0,0,0,10.19,1.66,0
20230320:2310,0,0,0,9.72,1.86,0
20230321:0010,0,0,0,9.23,1.93,0
20230321:0110,0,0,0,8.86,1.86,0
20230321:0210,0,0,0,8.59,1.86,0
20230321:0310,0,0,0,8.43,1.93,0
20230321:0410,0,0,0,8.29,2,0
20230321:0510,0,0,0,8.11,2.07,0
20230321:0610,1181375,555.45,11.86,8.38,1.93,0
20230321:0710,0,0,0,10.85,1.59,0
20230321:0810,0,0,0,12.86,1.86,0
20230321:0910,2044675,1057.51,39.43,14.47,1.66,0
20230321:1010,2010625,1045.45,44.67,15.78,1.66,0
20230321:1110,1946625,1042.15,46.32,16.6,0.55,0
20230321:1210,1979375,1057.2,43.97,16.78,0.76,0
20230321:1310,1717525,880.76,38.19,16.89,1.52,0
20230321:1410,1797925,908.71,30.02,16.69,2.48,0
20230321:1510,1599900,790.94,20.4,16.39,2.97,0
20230321:1610,966125,465.28,9.97,15.63,2.83,0
20230321:1710,0,0,0,14.69,2.97,0
20230321:1810,0,0,0,13.42,3.03,0
20230321:1910,0,0,0,13.14,2.83,0
20230321:2010,0,0,0,12.13,2.55,0
20230321:2110,0,0,0,11.12,2.48,0
20230321:2210,0,0,0,10.29,2.41,0
20230321:2310,0,0,0,9.53,2.41,0
20230322:0010,0,0,0,8.86,2.34,0
20230322:0110,0,0,0,8.36,2.41,0
20230322:0210,0,0,0,8,2.48,0
20230322:0310,0,0,0,7.65,2.41,0
20230322:0410,0,0,0,7.32,2.34,0
20230322:0510,0,0,0,6.94,2.34,0
20230322:0610,927775,432.08,12.2,7.41,2.21,0
20230322:0710,0,0,0,10.81,1.59,0
20230322:0810,1833500,944.04,31.98,14.44,1.03,0
20230322:0910,1825575,961.94,39.82,16.35,0.62,0
20230322:1010,1863500,993.59,45.07,17.23,0.55,0
20230322:1110,1824600,952.16,46.71,17.71,1.38,0
20230322:1210,2016350,1051.75,44.33,17.99,2.14,0
20230322:1310,1997400,1020.2,38.5,17.8,3.17,0
20230322:1410,1896425,950.12,30.29,17.17,3.79,0
20230322:1510,1635325,805.47,20.63,16.56,3.59,0
20230322:1610,1051850,507.19,10.19,15.75,2.83,0
20230322:1710,0,0,0,14.52,2.34,0
20230322:1810,0,0,0,13.42,2.07,0
20230322:1910,0,0,0,12.38,1.45,0
20230322:2010,0,0,0,12.54,1.1,0
20230322:2110,0,0,0,11.87,1.17,0
20230322:2210,0,0,0,10.52,1.45,0
20230322:2310,0,0,0,9.52,1.52,0
20230323:0010,0,0,0,8.77,1.45,0
20230323:0110,0,0,0,7.88,1.52,0
20230323:0210,0,0,0,7.09,1.59,0
20230323:0310,0,0,0,6.54,1.59,0
20230323:0410,0,0,0,6.2,1.52,0
20230323:0510,0,2.19,1.79,6.13,1.38,0
